AS Lab # ,Spec or Tag #,Site,Unit/Project,Provenience/Location A,Provenience/Location B,Phase,Genus,Species,Element,Side,δ13C apatite-VPDB (‰),δ18O apatite-VSMOW (‰),C/P,IR-SF,Notes
AS-0353,A-382.003,Moon Pyramid,Structure 5,Tunel,XXVIII,Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,R,-8.0,23.7,0.13,2.98,
AS-0354,A-382.004,Moon Pyramid,Structure 5,Tunel,XXVIII,Patlachique-Tlamimilolpa ,Lepus,,Mandible,L,-10.8,24.7,0.16,3.30,
AS-0355,A-382.005,Moon Pyramid,Structure 5,Tunel,XXVIII,Patlachique-Tlamimilolpa ,Lepus,,Mandible,R,-11.0,25.3,0.18,2.89,
AS-0356,A-5251.001,Moon Pyramid,Structure 5,Tunel,CCXLVIII,Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,R,-10.1,28.3,0.17,2.95,
AS-0357,A-5279.001,Moon Pyramid,Structure 5,Tunel 2,CCXLVII,Patlachique-Tlamimilolpa ,Lepus,,Humerus,,-5.1,21.6,0.16,3.51,
AS-0358,H-024.002,Moon Pyramid,Structure 6,Pozo 1,IX,Patlachique-Tlamimilolpa ,Lepus,,Femur,L,-7.0,23.9,0.18,2.90,
AS-0359,H-107.001,Moon Pyramid,Structure 6,Tunel 8 N1,IX y XIII,Patlachique-Tlamimilolpa ,Lepus,,Mandible,R,-11.8,22.8,0.17,2.59,
AS-0360,H-182.001,Moon Pyramid,Structure 6,Tunel 8 E.2,IX,Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,L,-9.1,28.4,0.16,2.73,
AS-0361,H-182.002,Moon Pyramid,Structure 6,Tunel 8 E.2,IX,Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,L,-13.1,25.8,0.19,2.67,
AS-0362,H-305.001,Moon Pyramid,Structure 6,"Tunel 8, Este 2","XXXVII, XXXVIII",Patlachique-Tlamimilolpa ,Lepus,,Femur,L,-4.7,27.9,,,
AS-0363,H-316.001,Moon Pyramid,Structure 6,Tunel 8 E.2,"XXXIX, XXXVIII",Patlachique-Tlamimilolpa ,Lepus,,Scapula,R,-4.7,25.7,,,
AS-0364,H-336.001,Moon Pyramid,Structure 6,"Tunel 8, Este 2","XXXVIII, XXXIX, XL, XLII",Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,R,-6.9,29.7,,,
AS-0365,H-856.001,Moon Pyramid,Structure 6,Tunel 8 E3,"XCV, XCVI, XCVII",Patlachique-Tlamimilolpa ,Sylvilagus,,Humerus,L,-7.1,25.9,,,
AS-0366,K-246.001,Moon Pyramid,Structure 4,Tunel 12,XXXII (muro 8),Patlachique-Tlamimilolpa ,Sylvilagus,,Femur,R,-10.3,24.1,,,
AS-0367,F-307.001,Moon Pyramid,Structure 6 or 7?,Tunel 7,XXXVII,Patlachique-Tlamimilolpa ,Sylvilagus,,Mandible,R,-10.9,27.6,0.10,3.16,
AS-0368,F307.002,Moon Pyramid,Structure 6 or 7?,Tunel 7,XXXVII,Patlachique-Tlamimilolpa ,Lepus,,Femur,R,-7.4,22.6,0.14,3.21,
AS-0369,F-312.002,Moon Pyramid,Structure 7,Tunel 7,XXIX,Patlachique-Tlamimilolpa ,Lepus,,Femur,L,-10.5,22.6,0.24,5.64,
AS-0370,F-312.001,Moon Pyramid,Structure 7,Tunel 7,XXIX,Patlachique-Tlamimilolpa ,Lepus,,Pelvis,L,-6.1,28.8,0.34,0.56,
AS-0371,K-317.001,Moon Pyramid,Structure 4,Tunel 12,XLI,Patlachique-Tlamimilolpa ,Lepus,,Tibia,R,-10.3,24.7,0.17,2.67,
AS-0372,F-610.001,Moon Pyramid,Structure 7,Tunel 7,XXIX,Patlachique-Tlamimilolpa ,Sylvilagus,,Tibia,L,-12.8,25.6,0.14,4.18,
AS-0373,F-970.001,Moon Pyramid,Structure 6 or 7?,Tunel 7,LXIII,Patlachique-Tlamimilolpa ,Sylvilagus,,Pelvis,L,-11.3,24.4,0.14,3.74,
AS-0455,H-913.001,Moon Pyramid,Structure 6,Tunel 8 N2,"LXII, LXXXII, LXXXIII",Patlachique-Tlamimilolpa ,Sylvilagus,,Mandible,,,,0.23,2.94,
AS-0456,H-024.001,Moon Pyramid,Structure 6,Pozo 1,IX,Patlachique-Tlamimilolpa ,Sylvilagus,,dist Femur,,,,0.26,2.39,
AS-0068,OZT.012,Oztoyahualco,Cuarto 28,N324 E270 IIc,12177,Xolalpan,Sylvilagus,floridanus,Pelvis,L,-6.0,24.3,0.24,2.06,Se lavó para observar lasuperficie del hueso cubierto por una capa blanca posible de cal.
AS-0069,OZT.013,Oztoyahualco,-,N308 E281 E2C3 RIII,1251,Xolalpan,Sylvilagus,,Tibia,L,-7.9,21.8,0.20,2.22,Marcas de roedor presentes. Se lavó para observar la superficie del hueso cubierto en una capa blanca posible de cal.
AS-0070,OZT.015,Oztoyahualco,Cuarto 28,N324 E270 IIc,12175,Xolalpan,Sylvilagus,cunicularius,Pelvis,L,-4.0,20.9,0.22,2.30,
AS-0171,OZT.010,Oztoyahualco,Cuarto 10,N305 E273 E2C10,,Xolalpan,Sylvilagus,,Mandible,R,,,,,
AS-0172,OZT.005,Oztoyahualco,Cuarto 28,N324 E270 IIc,,Xolalpan,Lepus,floridanus,Mandible,L,-3.4,24.7,0.26,2.83,Se lavó para observar la superficie del hueso cubierto por una capa blanca posible de cal.
AS-0173,OZT.008,Oztoyahualco,Cuarto 10,N305 E273 E2C10,,Xolalpan,Sylvilagus,cunicularius,?,L,-3.3,27.2,0.26,2.73,
AS-0174,OZT.009,Oztoyahualco,Cuarto 10,N305 E273 E2C10,,Xolalpan,Sylvilagus,cf. floridanus,Mandible,R,-6.4,26.8,0.34,2.56,
AS-0175,OZT.016,Oztoyahualco,,N322 E268 R1 E2C2P R.T.928,12720,Xolalpan,Sylvilagus,,Pelvis,R,-11.3,24.9,0.22,3.08,
AS-0176,OZT.011,Oztoyahualco,Cuarto 28,N324 E270 IIc,12177,Xolalpan,Lepus?,cunicularius,Tibia,L,-5.4,24.8,0.15,3.18,"Se lavó para observar la superficie del hueso cubierto por una capa blanca, posible de cal."
AS-0177,OZT.014,Oztoyahualco,Cuarto 40,N315 E284 Id,1932,Xolalpan,Sylvilagus,,Humero,R,-5.5,24.7,0.21,2.84,1 huella de carnívoro presente
AS-0260,OZT.017,Oztoyahualco,Cuarto 5?,"N309 E275 RV E2 9C5, Posa Rt=177",2137,Xolalpan,Lepus,californicus,Femur,R,-4.7,25.4,0.25,4.30,Con una capa blanca posible de cal. 
AS-0853,OZT.001,Oztoyahualco,Cuarto 10?,N305 E272 E2 C10,,Xolalpan,Lepus,audobonii,Mandible,R,-5.5,29.4,,,
AS-0854,OZT.002,Oztoyahualco,Cuarto 9,N310 E277 E2C9 RII,,Xolalpan,Sylvilagus,floridanus,Femur,L,-4.2,27.4,,,3 huellas de carnívoro presente
AS-0855,OZT.003,Oztoyahualco,Cuarto 10,N306 E273 R1,,Xolalpan,Sylvilagus,,Tibia,R,-6.8,22.5,,,"No se observa si esta fusionado, pero parece que se quebró sobre la linea de fusionamiento. "
AS-0856,OZT.004,Oztoyahualco,Cuarto 28,N324 E270 IIc,,Xolalpan,Lepus,,Femur,L,-6.1,27.0,,,Se lavó para observar la superficie del hueso cubierto por una capa blanca posible de cal.
AS-0857,OZT.006,Oztoyahualco,Cuarto 10?,N304 E275 E2C10,,Xolalpan,Sylvilagus,cunicularius,Pelvis,R,-8.2,27.1,,,
AS-0858,OZT.007,Oztoyahualco,Cuarto 5,N308 E276 E2C10 RI,,Xolalpan,Sylvilagus,,Humero,R,-4.8,26.8,,,
AS-0814,25625.001,Puerta 5,Paso a nivel -Cala II,N6 E3,2,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Pelvis,R,-5.4,26.0,0.23,3.10,Pelvis R de Sylvilagus cunicularius
AS-0815,25666.001,Puerta 5,Paso a nivel -Cala II,N5 E3,3,Coyotlatelco/Metepec,Sylvilagus,,Mandible,R,-7.3,22.8,0.33,3.18,"Dentario R de Mandible con pm2, pm3 and m1 de Sylvilagus sp. Bajo piso 3 - interior cuarto"
AS-0816,25698.001,Puerta 5,Paso a nivel -Cala II,N2 W1,2,Coyotlatelco/Metepec,Sylvilagus,floridanus,Mandible,L,-5.0,28.1,0.33,3.59,Mandible L de Sylvilagus floridanus
AS-0817,25714.001,Puerta 5,Paso a nivel -Cala II,N1 W2,2,Coyotlatelco/Metepec,Sylvilagus,,Pelvis,R,-8.8,24.3,0.34,3.24,Pelvis R de Sylvilagus sp.
AS-0818,26505.001,Puerta 5,Paso a nivel -Cala II,N1 W4,2,Coyotlatelco/Metepec,Sylvilagus,,Femur,R,-12.9,23.3,0.29,3.04,Epífisis proximal de Femur R de Sylvilagus sp. - Epífisis fusionado
AS-0819,26542.001,Puerta 5,Paso a nivel -Cala II,N6 W1,2,Coyotlatelco/Metepec,Sylvilagus,,Humerus,L,-6.8,24.5,0.13,3.33,Mitad proximal de humero L de Sylvilagus sp.  - Epífisis fusionado
AS-0820,26549.001,Puerta 5,Paso a nivel -Cala II,N7 E2,4,Coyotlatelco/Metepec,Sylvilagus,,Humerus,L,-8.3,26.6,0.25,3.18,Humero L de juvenil Sylvilagus sp.
AS-0821,26612.001,Puerta 5,Paso a nivel -Cala II,N5 E1,2,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Humerus,R,-8.2,24.2,0.16,3.31,Humero R de Sylvilagus cunicularius  - Epífisis fusionado
AS-0822,26749.001,Puerta 5,Cueva III,,4,Coyotlatelco/Metepec,Sylvilagus,floridanus,Femur,L,-5.7,23.9,0.13,3.56,Epífisis proximal de Femur L de Sylvilagus floridanus  - Epífisis fusionado
AS-0823,27519.001,Puerta 5,Cueva III,,5,Coyotlatelco/Metepec,Sylvilagus,floridanus,Mandible,R,-5.6,22.9,0.11,3.70,fragmento de Mandible R con 2 molares y 2 premolares de Sylvilagus floridanus
AS-0824,27521.001,Puerta 5,Cueva III,,5,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Pelvis,R,-10.4,23.7,0.19,3.33,Pelvis R de Sylvilagus cunicularius
AS-0825,27541.001,Puerta 5,Cueva III,N1 W1,4,Coyotlatelco/Metepec,,,Femur,R,,,0.13,4.12,Femur R de Leporidae (Lepus sp. o Sylvilagus cunicularius)  - Epífisis fusionado
AS-0826,27541.002,Puerta 5,Cueva III,N1 W1,4,Coyotlatelco/Metepec,,,Femur,R,,,0.07,3.69,Femur R de Leporidae (Lepus sp. o Sylvilagus cunicularius)  - Epífisis fusionado
AS-0827,27541.003,Puerta 5,Cueva III,N1 W1,4,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Femur,R,-6.9,24.6,0.07,4.16,Mitad proximal de Femur R de Sylvilagus cunicularius 
AS-0828,27541.004,Puerta 5,Cueva III,N1 W1,4,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Femur,R ,-4.9,25.9,0.14,3.47,Epífisis proximal de Femur R de Sylvilagus cf. cunicularius - Epífisis fusionado
AS-0829,28192.001,Puerta 5,Cueva III,N1 W2,6,Coyotlatelco/Metepec,Sylvilagus,,Mandible,L,-5.0,24.3,0.10,3.74,"Mandible L de Sylvilagus sp. - fragmento con m1, m2, m3 y 2 premolares"
AS-0830,28197.001,Puerta 5,Cueva III,S1 W2,6,Coyotlatelco/Metepec,Sylvilagus,,Maxilla,,-4.8,24.0,0.07,3.63,maxila con molares y premolares de Sylvilagus sp.
AS-0831,28199.001,Puerta 5,Cueva III,N2 W2,6,Coyotlatelco/Metepec,Sylvilagus,floridanus,Tibia,R,-6.8,23.8,0.11,3.80,mitad proximal de Tibia R de Sylvilagus floridanus - porosidad y perdida de hueco (posiblemente osteomielitis) en epífisis proximal.  - Epífisis fusionado
AS-0832,28200.001,Puerta 5,Cueva III,S1 W2,6,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Mandible,R,-5.1,23.6,0.09,3.82,Mandible R con incisivo roto de Sylvilagus cunicularius 
AS-0833,28200.002,Puerta 5,Cueva III,S1 W2,6,Coyotlatelco/Metepec,Lepus,,Tibia,L,-5.1,27.2,0.08,3.79,epífisis distal de Tibia L de Lepus sp.  - Epífisis fusionado
AS-0834,28200.003,Puerta 5,Cueva III,S1 W2,6,Coyotlatelco/Metepec,Sylvilagus,,Humerus,L,-6.6,26.5,0.11,3.74,epífisis distal de humero L de Sylvilagus sp.  - Epífisis fusionado
AS-0835,29004.001,Puerta 5,Cueva III,N2 W1,6,Coyotlatelco/Metepec,Lepus,,Tibia,L,-6.7,26.1,0.11,3.91,diáfisis de Tibia L de Lepus sp. con marcas de corte y marcas de roedor. Pulido (cocido?)  - Epífisis fusionado
AS-0836,29914.001,Puerta 5,Cueva III,N2 E3,6,Coyotlatelco/Metepec,Lepus,,Tibia,R,-5.6,23.5,0.15,3.37,Tibia R sin epífisis distal de Lepus sp.  - Epífisis proximal fusionado
AS-0837,30431.001,Puerta 5,Cueva III,N1 W3,6,Coyotlatelco/Metepec,Sylvilagus,floridanus,Tibia,R,-7.3,24.4,0.37,3.63,Tibia R de Sylvilagus floridanus  - Epífisis fusionado
AS-0838,35214.001,Puerta 5,Cueva III,N2 E2,4,Coyotlatelco/Metepec,Sylvilagus,audubonii,Femur,R,-7.0,21.5,0.14,3.63,Femur R de Sylvilagus audubonii - Epífisis fusionado
AS-0839,35222.001,Puerta 5,Cueva III,S2 E6,4,Coyotlatelco/Metepec,Sylvilagus,floridanus,Tibia,L,-9.8,24.0,0.17,3.41,Tibia L de Sylvilagus floridanus - cocido.  - Epífisis fusionado
AS-0840,35269.001,Puerta 5,Cueva III,S2 E7,4 y 5,Coyotlatelco/Metepec,Sylvilagus,cunicularius,Femur,R,-6.5,25.5,0.13,3.58,Femur R de Sylvilagus cunicularius  - Epífisis fusionado
AS-0841,35273.001,Puerta 5,Cueva III,N3 O1,4,Coyotlatelco/Metepec,Lepus,,Femur,R,,,0.18,3.40,Femur R de Lepus sp.  - Epífisis fusionado
